journal_title,journal_url,is_predatory
Prolíngua,http://periodicos.ufpb.br/index.php/prolingua/index,0
Проблеми Законності,http://plaw.nlu.edu.ua,0
Enlightening Tourism: A Pathmaking Journal,http://www.uhu.es/publicaciones/ojs/index.php/et,0
Scientific Journals of the Maritime University of Szczecin,http://scientific-journals.eu,0
"Fronteiras: Journal of Social, Technological and Environmental Science",http://revistas.unievangelica.edu.br/index.php/fronteiras,0
Semina: Ciências Agrárias,https://www.uel.br/revistas/uel/index.php/semagrarias/index,0
Raízes Jurídicas,http://ojs.up.com.br/index.php/raizesjuridicas,0
International Journal of Critical Pedagogy,http://libjournal.uncg.edu/ijcp/index,0
Iheringia: Série Zoologia,http://www.scielo.br/isz,0
INDEX Revista de Arte Contemporáneo,http://revistaindex.net,0
Jurnal Ilmiah Ilmu-Ilmu Peternakan,https://online-journal.unja.ac.id/index.php/jiip,0
Research in Corpus Linguistics,http://www.aelinco.es/ojs/index.php/ricl/index,0
Survey Methods - Insights from the Field,http://www.surveyinsights.org,0
Concrete Operators,https://www.degruyter.com/journal/key/conop/html,0
Cuadernos de Lingüística de El Colegio de México,http://cuadernoslinguistica.colmex.mx/index.php/cl,0
"Revista de Sociologia, Antropologia e Cultura Jurídica",http://indexlaw.org/index.php/culturajuridica/index,0
Argumentos,http://revistaargumentos.justiciacordoba.gob.ar,0
Revista Colombiana de Biotecnología,https://revistas.unal.edu.co/index.php/biotecnologia,0
Kandai,http://ojs.badanbahasa.kemdikbud.go.id/jurnal/index.php/kandai,0
Jurnal Psikologi Teori dan Terapan,https://journal.unesa.ac.id/index.php/jptt,0
Journal of Applied Research on Children,http://digitalcommons.library.tmc.edu/childrenatrisk,0
Clinical and Experimental Otorhinolaryngology,https://www.e-ceo.org,0
Jurnal Iqra': Kajian Ilmu Pendidikan,http://journal.iaimnumetrolampung.ac.id/index.php/ji/index,0
Cadernos de História,http://periodicos.pucminas.br/index.php/cadernoshistoria/index,0
Tecnura,https://revistas.udistrital.edu.co/index.php/tecnura/index,0
Tate Papers,http://www.tate.org.uk/research/publications/tate-papers,0
Revista Ciencias Veterinarias,http://www.revistas.una.ac.cr/veterinaria,0
Indonesian Journal of History Education,http://journal.unnes.ac.id/sju/index.php/ijhe,0
Revista da SBEnBIO,http://renbio.org.br/index.php/sbenbio,0
Téssera,http://www.seer.ufu.br/index.php/tessera,0
Półrocznik Językoznawczy Tertium,https://journal.tertium.edu.pl/index.php/jak,0
Colloquium Agrariae,http://journal.unoeste.br/index.php/ca,0
Phytopathologia Mediterranea,https://oajournals.fupress.net/index.php/pm/index,0
ORiON,http://orion.journals.ac.za,0
Journal of Human Security,http://www.librelloph.com/journalofhumansecurity,0
EQA,http://eqa.unibo.it,0
Iluminuras,https://seer.ufrgs.br/iluminuras,0
Learning and Teaching,https://www.berghahnjournals.com/view/journals/latiss/latiss-overview.xml,0
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 2. Âzykoznanie,http://l.jvolsu.com/index.php/en,0
Telfor Journal,http://journal.telfor.rs,0
Zephyrus,http://revistas.usal.es/index.php/0514-7336/index,0
Phonica,http://revistes.ub.edu/index.php/phonica,0
Revista Pegada Eletrônica,http://revista.fct.unesp.br/index.php/pegada/index,0
Rivista Italiana di Acustica,https://www.acustica-aia.it/ria/index.php,0
Austrian Law Journal,http://www.austrian-law-journal.at,0
Open Biology,https://royalsocietypublishing.org/journal/rsob,0
Cadernos de Letras da UFF,https://periodicos.uff.br/cadernosdeletras,0
Revista Baiana de Educação Matemática,https://www.revistas.uneb.br/index.php/baeducmatematica/index,0
Aspekti Publìčnogo Upravlìnnâ,http://www.aspects.org.ua,0
Jurnal Smart,http://ejournal.umpri.ac.id/index.php/smart/index,0
Ticontre: Teoria Testo Traduzione,http://www.ticontre.org,0
California Fish and Wildlife Journal,https://wildlife.ca.gov/publications/journal,0
Agronomy Science,https://czasopisma.up.lublin.pl/index.php/as,0
Комплексные исследования детства,https://kid-journal.ru,0
Biology Open,https://journals.biologists.com/bio,0
Zeithistorische Forschungen,https://zeithistorische-forschungen.de,0
Pedagogika. Studia i Rozprawy,https://czasopisma.ujd.edu.pl/index.php/pedagogika,0
Dermatology Practical & Conceptual,https://dpcj.org/index.php/dpc,0
Известия Саратовского университета: Новая серия. Серия Философия. Психология. Педагогика,https://phpp.sgu.ru,0
Central European Journal of Educational Research,https://ojs.lib.unideb.hu/cejer,0
"Модели, системы, сети в экономике, технике, природе и обществе",https://mss_eng.pnzgu.ru,0
Етически изследвания,https://jesbg.com,0
Revista Perspectivas,https://revistas.ufps.edu.co/index.php/perspectivas,0
Análisis,https://revistas.usantotomas.edu.co/index.php/analisis,0
Online Journal of Rural Nursing and Health Care,http://rnojournal.binghamton.edu/index.php/rno,0
Интеграция образования,http://edumag.mrsu.ru,0
Пенитенциарная наука,https://jurnauka-vipe.ru/?lang=en,0
Journal of Health (JOH),https://journal.gunabangsa.ac.id/index.php/joh,0
Journal of Chromatography Open,https://www.journals.elsevier.com/journal-of-chromatography-open,0
Territoires du Vin,https://preo.u-bourgogne.fr/territoiresduvin,0
Physics Education Research Journal,https://journal.walisongo.ac.id/index.php/perj/index,0
Krisis,https://krisis.eu/index,0
Journal of International Economics and Management,http://jiem.ftu.edu.vn,0
ALTEX: Alternatives to Animal Experimentation,https://www.altex.org,0
Sukkur IBA Journal of Emerging Technologies,http://journal.iba-suk.edu.pk:8089/sibajournals/index.php/sjet,0
Journal of Student-Run Clinics,http://journalsrc.org/index.php/jsrc/index,0
Литературный факт,http://litfact.ru/en/e,0
آموزش پزشکی,http://mededj.ir/index.php?slc_lang=en&slc_sid=1,0
LingVaria,https://journals.akademicka.pl/lv,0
Airea,http://journals.ed.ac.uk/airea,0
JAm It!,https://www.ojs.unito.it/index.php/jamit,0
Politeja,https://journals.akademicka.pl/politeja,0
Journal of Coloproctology,https://doi.org/10.1055/s-00050098,0
Avicenna Journal of Medicine,https://doi.org/10.1055/s-00051312,0
Инженерные технологии и системы,http://vestnik.mrsu.ru/index.php/en,0
Canadian Medical Education Journal,http://www.cmej.ca,0
Cadernos de Pesquisa,https://www.scielo.br/j/cp,0
Cogitare Enfermagem,http://www.saude.ufpr.br/portal/revistacogitare,0
Славянский мир в третьем тысячелетии,https://slavicworld.ru,0
"Plural: History, Culture, Society",http://plural.upsc.md,0
"21: Inquiries into Art, History, and the Visual",https://journals.ub.uni-heidelberg.de/index.php/xxi/about,0
Hermeneutische Blätter,https://www.hermeneutische-blaetter.uzh.ch,0
Hydrologie und Wasserbewirtschaftung,https://www.hywa-online.de,0
Journal of Tourism Analysis,https://analisis-turistico.aecit.org/index.php/aecit/index,0
Repères DoRiF,http://www.dorif.it/reperes,0
EduHumaniora: Jurnal Pendidikan Dasar,https://ejournal.upi.edu/index.php/eduhumaniora/index,0
Mining Machines,http://komag.eu/wydawnictwa/mining-machines,0
Jurnal Ilmu Keperawatan Maternitas,https://journal.ppnijateng.org/index.php/jikm,0
Journal of Fundamental and Applied Pharmaceutical Science,https://journal.umy.ac.id/index.php/jfap,0
The Journal of The British Blockchain Association,https://jbba.scholasticahq.com,0
Jurnal Kajian Anak,http://scholar.ummetro.ac.id/index.php/sanak,0
Известия Саратовского университета. Новая серия: Серия «Экономика. Управление. Право»,https://eup.sgu.ru,0
Известия Саратовского университета. Новая серия: Серия Химия. Биология. Экология,https://ichbe.sgu.ru,0
Journal of Business Strategies,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/index,0
Север и рынок: формирование экономического порядка,http://www.iep.kolasc.net.ru/journal/eng,0
Crítica Historiográfica,https://www.criticahistoriografica.com.br,0
Дифференциальная геометрия многообразий фигур,https://journals.kantiana.ru/eng/geometry,0
Le Simplegadi,https://le-simplegadi.it/index,0
Indonesian Midwifery and Health Sciences Journal,https://e-journal.unair.ac.id/imhsj,0
Cross-Cultural Management Journal,http://cmj.seaopenresearch.eu,0
Métodos y Materiales,https://revistas.ucr.ac.cr/index.php/materiales/index,0
Revista Encontros,http://www.cp2.g12.br/ojs/index.php/encontros.,0
Экспериментальная психология,http://psyjournals.ru/en/exp,0
Гуманитарный вектор,http://zabvektor.com/?lang=en,0
AGIT: Journal für Angewandte Geoinformatik,http://www.agit-journal.net,0
Integritet i Vek Konstrukcija,http://divk.inovacionicentar.rs,0
International Journal of Psychology: A Biopsychosocial Approach,https://ejournals.vdu.lt/index.php/ijpbpsa/index,0
مجلة كلية التربية للبنات,http://jcoeduw.uobaghdad.edu.iq/index.php/journal/about,0
International Journal for Court Administration,https://www.iacajournal.org,0
"Економіка, Eкологія, Cоціум",https://ees-journal.com,0
Didáctica Geográfica,https://didacticageografica.age-geografia.es/index.php/didacticageografica,0
Biblos,https://impactum-journals.uc.pt/biblos,0
Yearbook of Balkan and Baltic Studies,https://www.folklore.ee/balkan_baltic_yearbook/ybbs,0
Ingeniería,http://revistas.udistrital.edu.co/ojs/index.php/reving,0
Uqyānūs/shināsī,http://joc.inio.ac.ir/index.php?slc_lang=en&sid=1,0
Istraživanja u Pedagogiji,http://research.rs,0
Žurnal Grodnenskogo Gosudarstvennogo Medicinskogo Universiteta,http://journal-grsmu.by/index.php/ojs/index,0
Psicooncologia,https://revistas.ucm.es/index.php/psic,0
The Asia Pacific Scholar,https://medicine.nus.edu.sg/taps,0
Fondatia : Jurnal Pendidikan Dasar,https://ejournal.stitpn.ac.id/index.php/fondatia,0
Revista Brasileira de Pesquisa em Ciências da Saúde,http://revistas.icesp.br/index.php/rbpecs,0
RNA & DISEASE,http://www.smartscitech.com/index.php/rd/index,0
Contratexto,https://revistas.ulima.edu.pe/index.php/contratexto,0
Anthropologica,http://revistas.pucp.edu.pe/anthropologica,0
Studia Universitatis Babes-Bolyai: Series Informatica,http://www.cs.ubbcluj.ro/~studia-i,0
CorSalud,http://www.corsalud.sld.cu/corsaludenglish/index.html,0
Journal of Techno-Social,http://penerbit.uthm.edu.my/ojs/index.php/jts,0
Władza Sądzenia,http://www.wladzasadzenia.pl,0
Boletim do Observatório Ambiental Alberto Ribeiro Lamego,http://www.essentiaeditora.iff.edu.br/index.php/boletim,0
JINOP (Jurnal Inovasi Pembelajaran),http://ejournal.umm.ac.id/index.php/jinop,0
Noctua,https://www.e-theca.net/noctua.html,0
Bulletin of the International Association for Paleodontology,http://hrcak.srce.hr/paleodontology,0
Riset Akuntansi dan Keuangan Indonesia,http://journals.ums.ac.id/index.php/reaksi,0
Jurnal Veteriner,http://ojs.unud.ac.id/index.php/jvet,0
Farmacéuticos Comunitarios,http://farmaceuticoscomunitarios.org,0
Interação em Psicologia,http://revistas.ufpr.br/psicologia/index,0
Jurnal Keuangan dan Perbankan,http://jurnal.unmer.ac.id/index.php/jkdp,0
Journal of Breast Cancer,https://ejbc.kr/index.php,0
حسابداری سلامت,http://jha.sums.ac.ir,0
International Series on Information Systems and Management in Creative eMedia,http://www.ambientmediaassociation.org/journal,0
Jurnal Benefita,https://ejournal.lldikti10.id/index.php/benefita,0
Bearing Witness: Joyce Carol Oates Studies,http://repository.usfca.edu/jcostudies,0
Ihtifaz,http://journal2.uad.ac.id/index.php/ijiefb,0
Jurnal Linguistik Komputasional,http://inacl.id/journal/index.php/jlk,0
Huellas,https://cerac.unlpam.edu.ar/index.php/huellas,0
History of Science in South Asia,https://journals.library.ualberta.ca/hssa/index.php/hssa/index,0
Jurnal Kawistara,https://jurnal.ugm.ac.id/kawistara/about/submissions#copyrightnotice,0
"International Journal of Aviation, Aeronautics, and Aerospace",http://commons.erau.edu/ijaaa,0
Comunicologia,https://portalrevistas.ucb.br/index.php/rceucb,0
Revista de Ciencia y Tecnología,http://www.fceqyn.unam.edu.ar/recyt,0
Universidad y Empresa,http://revistas.urosario.edu.co/index.php/empresa,0
Vìsnik Odesʹkogo Nacìonalʹnogo Unìversitetu: Hìmìâ,http://heraldchem.onu.edu.ua,0
Revista Nacional de Administración,https://revistas.uned.ac.cr/index.php/rna,0
Iatreia,https://revistas.udea.edu.co/index.php/iatreia/index,0
Novum,https://revistas.unal.edu.co/index.php/novum/index,0
Al-Ta'rib,http://e-journal.iain-palangkaraya.ac.id/index.php/tarib,0
"Naukovij Vìsnik Nacìonalʹnogo Unìversitetu Bìoresursìv ì Prirodokoristuvannâ Ukraïni. Serìâ: Ekonomìka, Agrarnij Menedžment ta Bìznes",http://journals.nubip.edu.ua/index.php/economica,0
Вісник Харківського національногоуніверситету імені В.Н. Каразіна. Серія: Радіофізика та електроніка,https://periodicals.karazin.ua/radiophysics/index,0
"Журнал Белорусского государственного университета: География, геология",https://journals.bsu.by/index.php/geography/index,0
Erga-Logoi,https://www.ledonline.it/index.php/erga-logoi,0
Investigaciones Regionales - Journal of Regional Research,http://www.investigacionesregionales.org,0
Heterocyclic Communications,https://www.degruyter.com/view/j/hc,0
Endoscopy International Open,https://doi.org/10.1055/s-00025476,0
Culture e Studi del Sociale,http://www.cussoc.it/index.php/journal,0
International Journal of the First Year in Higher Education,https://fyhejournal.com/index,0
Kaibon Abhinaya,https://e-jurnal.lppmunsera.org/index.php/ka/index,0
Bunron,http://www.bunron.org,0
