Journals,Links
Academic Exchange Quarterly,http://www.rapidintellect.com/AEQweb/
Academic Research Reviews,http://academicreviews.us/Default.aspx
Academy of Contemporary Research Journal,http://aocrj.org/
ACME Intellects,http://www.acmeintellects.org/
Acoustics,https://www.mdpi.com/journal/acoustics
Acta Advances in Agricultural Sciences,http://www.aaasjournal.com/
Acta de Gerencia Ciencia,http://www.cagena.com/
Acta Kinesiologica,http://www.actakin.com/
Acta Medica International,http://www.tmu.ac.in/acta_publications.htm
Acta Scientiae et Intellectus,http://www.actaint.com/
Acta Velit,http://actavelit.com/
Actuators,https://www.mdpi.com/journal/actuators
Adalya Journal,http://adalyajournal.com/
Administrative Sciences,https://www.mdpi.com/journal/admsci
Adolescents,https://www.mdpi.com/journal/adolescents
Advance Research Journal of Multidisciplinary Discoveries,http://www.journalresearchijf.com/
Advances in Aerospace Science and Technology,https://www.scirp.org/journal/aast
Advances in Aerospace Science and Technology,http://www.scirp.org/journal/AAST
Advances in Aging Research,https://www.scirp.org/journal/aar
Advances in Alzheimer's Disease,https://www.scirp.org/journal/aad
Advances in Anthropology,https://www.scirp.org/journal/aa
Advances in Applied Sociology,https://www.scirp.org/journal/aasoci
Advances in Biological Chemistry,https://www.scirp.org/journal/abc
Advances in Biomedicine and Pharmacy,http://www.thescientificpub.com/
Advances in Bioscience and Biotechnology,https://www.scirp.org/journal/abb
Advances in Breast Cancer Research,https://www.scirp.org/journal/abcr
Advances in Chemical Engineering and Science,https://www.scirp.org/journal/aces
Advances in Computed Tomography,https://www.scirp.org/journal/act
Advances in Entomology,https://www.scirp.org/journal/ae
Advances in Enzyme Research,https://www.scirp.org/journal/aer
Advances in Fixed Point Theory,http://scik.org/index.php/afpt
Advances in Forestry Letter,http://www.afl-journal.org/index.aspx
Advances in Historical Studies,https://www.scirp.org/journal/ahs
Advances in Infectious Diseases,https://www.scirp.org/journal/aid
Advances in Internet of Things,https://www.scirp.org/journal/ait
Advances in Journalism and Communication,https://www.scirp.org/journal/ajc
Advances in Linear Algebra & Matrix Theory,https://www.scirp.org/journal/alamt
Advances in Literary Study,https://www.scirp.org/journal/als
Advances in Lung Cancer,https://www.scirp.org/journal/alc
Advances in Materials Physics and Chemistry,https://www.scirp.org/journal/ampc
Advances in Microbiology,https://www.scirp.org/journal/aim
Advances in Molecular Imaging,https://www.scirp.org/journal/ami
Advances in Nanoparticles,https://www.scirp.org/journal/anp
Advances in Parkinson's Disease,https://www.scirp.org/journal/apd
Advances in Physical Education,https://www.scirp.org/journal/ape
Advances in Pure Mathematics,https://www.scirp.org/journal/apm
Advances in Remote Sensing,https://www.scirp.org/journal/ars
Advances in Reproductive Sciences,https://www.scirp.org/journal/arsci
Advances in Respiratory Medicine,https://www.mdpi.com/journal/arm
"Advances in Science, Technology and Engineering Systems Journal",http://www.astesj.com/
Advances in Sexual Medicine,https://www.scirp.org/journal/asm
Aegaeum,http://aegaeum.com/
Aerospace,https://www.mdpi.com/journal/aerospace
Afrasian Journal of Humanities and Social Sciences,http://www.aajhss.org/index.php/aajhss
"African Journal of Traditional, Complementary and Alternative Medicines",http://journals.sfu.ca/africanem/index.php/ajtcam/index
Aging,http://www.impactaging.com/index.html
Agricultural Sciences,https://www.scirp.org/journal/as
Agriculture,https://www.mdpi.com/journal/agriculture
AgriEngineering,https://www.mdpi.com/journal/agriengineering
Agrochemicals,https://www.mdpi.com/journal/agrochemicals
Agrociencia,http://www.colopos.mx/
Agrociencia,https://agrociencia-colpos.mx/index.php/agrociencia
Agronomy,https://www.mdpi.com/journal/agronomy
AGU International Journal of Engineering & Technology,http://aguijet.com/
AGU International Journal of Professional Studies & Research,http://aguijpsr.com/
AGU International Journal of Research in Social Science & Humanities,http://aguijrssh.com/
Ahead International Journal of Recent Research Review,http://www.aijrrr.com/
AI,https://www.mdpi.com/journal/ai
Air,https://www.mdpi.com/journal/air
Al Ameen Journal of Medical Sciences,http://ajms.alameenmedical.org/
Algorithms,https://www.mdpi.com/journal/algorithms
Allergies,https://www.mdpi.com/journal/allergies
Alloys,https://www.mdpi.com/journal/alloys
Aloy Journal of Soft Computing and Applications,http://ajsca.org/
American Based Research Journal,http://www.abrj.org/
American International Journal of Contemporary Research,http://aijcrnet.com/
American International Journal of Contemporary Scientific Research,http://www.americanij.com/
American International Journal of Social Science,http://www.aijssnet.com/
American Journal of Advanced Agricultural Research,http://www.esterdjipress.org/index.php/AJAAR
American Journal of Advanced Drug Delivery,http://ojadd.com/index.php/AJADD
American Journal of Advanced Scientific Research,http://www.esterdjipress.org/index.php/AJAAR
American Journal of Advances in Medical Science,http://www.arnaca.com/
American Journal of Analytical Chemistry,https://www.scirp.org/journal/ajac
American Journal of Biomedical Science & Research,https://biomedgrid.com/
American Journal of Biotechnology and Medical Research,http://my.ejmanager.com/ajbmr/
American Journal of Climate Change,https://www.scirp.org/journal/ajcc
American Journal of Computational Mathematics,https://www.scirp.org/journal/ajcm
American Journal of Engineering Research,http://www.ajer.org/
American Journal of Essential Oils and Natural Products,http://essencejournal.com/index.html
American Journal of Humanities and Social Sciences Research,https://www.ajhssr.com/
American Journal of Industrial and Business Management,https://www.scirp.org/journal/ajibm
American Journal of Innovative Research and Applied Sciences,http://american-jiras.com/
American Journal of Molecular Biology,https://www.scirp.org/Journal/ajmb
American Journal of Multidisciplinary Research and Development,https://www.ajmrd.com/
American Journal of Operations Research,https://www.scirp.org/journal/ajor
American Journal of Pharmacy and Health Research,http://www.ajphr.com/
American Journal of PharmTech Research,http://www.ajptr.com/
American Journal of Phytomedicine and Clinical Therapeutics,http://www.ajpct.org/
American Journal of Plant Sciences,https://www.scirp.org/journal/ajps
American Journal of Research Communication,http://www.usa-journals.com/
American Journal of Scientific Research,http://www.americanjournalofscientificresearch.com/
American Journal of Social issues and Humanities,http://www.ajsih.org/index.php/ajsih
American Research Thoughts,http://researchthoughts.us/Default.aspx
"American Scientific Research Journal for Engineering, Technology, and Sciences",http://asrjetsjournal.org/
American Transactions on Engineering & Applied Sciences,http://tuengr.com/ATEAS/index.html
Amphibian & Reptile Conservation,http://amphibian-reptile-conservation.org/
International Journal of Advanced Computer Technology,http://ijact.in/
Analytica,https://www.mdpi.com/journal/analytica
Analytics,https://www.mdpi.com/journal/analytics
Anatomia,https://www.mdpi.com/journal/anatomia
Anglisticum,http://www.anglisticum.mk/index.php
Animals,https://www.mdpi.com/journal/animals
Annals of British Medical Sciences,http://abmsj.co.uk/index.htm
Annals of Clinical and Medical Case Reports,https://acmcasereport.com/
Link Only,http://acmcaserep.com/
Annals of Clinical Case Reports,http://anncaserep.com/
Annals of Dental Specialty,https://annalsofdentalspecialty.net.in/en
Annals of International Medical and Dental Research,http://aimdrjournal.com/
Annals of Medical and Biomedical Sciences,http://ambs-journal.co.uk/
Annals of Phytomedicine,http://ukaazpublications.com/publications/index.php
Antibiotics,https://www.mdpi.com/journal/antibiotics
Antibodies,https://www.mdpi.com/journal/antibodies
Antioxidants,https://www.mdpi.com/journal/antioxidants
Applied Biosciences,https://www.mdpi.com/journal/applbiosci
Applied Mathematics,https://www.scirp.org/journal/am
Applied Mechanics,https://www.mdpi.com/journal/applmech
Applied Microbiology,https://www.mdpi.com/journal/applmicrobiol
Applied Nano,https://www.mdpi.com/journal/applnano
Applied Research Journal,http://arjournal.org/
Applied Sciences,https://www.mdpi.com/journal/applsci
Applied System Innovation,https://www.mdpi.com/journal/asi
AppliedChem,https://www.mdpi.com/journal/appliedchem
AppliedMath,https://www.mdpi.com/journal/appliedmath
Aquaculture Journal,https://www.mdpi.com/journal/aquacj
Arabian Journal of Medical Sciences,http://www.ajms.tk/
Archaeological Discovery,https://www.scirp.org/journal/ad
Architecture,https://www.mdpi.com/journal/architecture
Archives Des Sciences Journal,http://www.sciencesarchive.com/
Archives of Applied Medicine,https://aoamj.org/
Archives of Clinical and Experimental Surgery,http://www.acesjournal.org/
ARCTIC Journal,http://arcticjournal.org/index.html
ARNACA American Journal of Advances in Medical Science,http://arnaca.com/
ARPN Journal of Science and Technology,http://ejournalofscience.org/
ARPN Journal of Systems and Software,http://www.scientific-journals.org/
Art and Design Review,https://www.scirp.org/journal/adr
Arthropoda,https://www.mdpi.com/journal/arthropoda
Arts,https://www.mdpi.com/journal/arts
"Asia Pacific Journal of Education, Arts and Sciences",http://apjeas.apjmr.com/
Asia Pacific Journal of Multidisciplinary Research,http://www.apjmr.com/
Asian Journal of Advanced Research and Reports,https://www.journalajarr.com/index.php/AJARR/index
Asian Journal of Applied Science and Engineering,http://ajase.weebly.com/
Asian Journal of Applied Science and Technology,http://www.ajast.net/
Asian Journal of Biomedical and Pharmaceutical Sciences,http://www.jbiopharm.com/index.php/ajbp
Asian Journal of Business and Management Sciences,http://www.ajbms.org/index.php
Asian Journal of Chemistry,http://www.asianjournalofchemistry.co.in/Home.aspx
Asian Journal of Emerging Research,http://amscentral.com/ajer/
Asian Journal of Health and Medical Sciences,http://www.ajhms.org/
Asian Journal of Humanities and Social Sciences,http://ajhss.org/
Asian Journal of Mathematics and Applications,http://scienceasia.asia/index.php/ama
Asian Journal of Multidisciplinary Studies,http://www.ajms.co.in/sites/ajms/index.php/ajms
Asian Journal of Pharmaceutical and Health Sciences,http://ajphs.com/
Asian Journal of Pharmaceutical Research and Health Care,http://jprhc.in/index.php
Asian Journal of Pharmacy and Life Science,http://www.ajpls.com/index.html
Asian Journal of Science and Technology,http://www.journalajst.com/
Asian Pacific Journal of Health Sciences,http://www.apjhs.com/index.html
Asian Pacific Journal of Natural Products,http://ainstin.com/asian-pacific-journal-of-natural-products
Asian Pacific Journal of Pharmacy and Phytochemistry,http://apjpp.com/
Asian Pacific Journal of Tropical Disease,http://www.apjtcm.com/
Asian Research Journal of Business Management,http://www.arjbm.com/index.php
Asia-Pacific Journal of Research,http://apjor.com/index.php
Astronomical Review,http://journals.ke-i.org/index.php/AstRv
Astronomy,https://www.mdpi.com/journal/astronomy
Atmosphere,https://www.mdpi.com/journal/atmosphere
Atmospheric and Climate Sciences,https://www.scirp.org/journal/acs
Atoms,https://www.mdpi.com/journal/atoms
Audiology Research,https://www.mdpi.com/journal/audiolres
Aurora’s International Journal of Computing,http://www.aurora-journal.com/
Australasian Journal of Herpetology,http://www.smuggled.com/AJHFP1.htm
Australasian Medical Journal,http://www.amj.net.au/index.php?journal=AMJ
Australian Journal of Basic and Applied Sciences,http://www.ajbasweb.com/
Australian Journal of Business and Management Research,http://www.ajbmr.com/index.php
Automation,https://www.mdpi.com/journal/automation
Averroes European Medical Journal,http://www.averroes-emj.com/
Axioms,https://www.mdpi.com/journal/axioms
Ayupharm: International Journal of Ayurveda and Allied Sciences,http://www.ayurpharm.com/
Ayushdhar,http://ayushdhara.in/index.php/ayushdhara
Bacteria,https://www.mdpi.com/journal/bacteria
Batteries,https://www.mdpi.com/journal/batteries
Behavioral Sciences,https://www.mdpi.com/journal/behavsci
Beijing Law Review,https://www.scirp.org/Journal/blr
Beverages,https://www.mdpi.com/journal/beverages
Big Data and Cognitive Computing,https://www.mdpi.com/journal/BDCC
Bio Bulletin,http://www.biobulletin.com/
BioChem,https://www.mdpi.com/journal/biochem
Bioengineering,https://www.mdpi.com/journal/bioengineering
Bioinformation,http://bioinformation.net/
Biointerface Research in Applied Chemistry,http://biointerfaceresearch.com/
Biologics,https://www.mdpi.com/journal/biologics
Biology,https://www.mdpi.com/journal/biology
Biology and Life Sciences Forum *,https://www.mdpi.com/journal/blsf
Biomass,https://www.mdpi.com/journal/biomass
Biomaterials and Tissue Engineering Bulletin,http://btebulletin.com/
Biomechanics,https://www.mdpi.com/journal/biomechanics
BioMed,https://www.mdpi.com/journal/biomed
Biomedical & Pharmacology Journa,http://www.biomedpharmajournal.org/
Biomedical Engineering Review,http://journals.ke-i.org/index.php/bme
Biomedical Journal of Scientific & Technical Research,https://biomedres.us/
Link Only,http://openaccessjournal.us/
Biomedicines,https://www.mdpi.com/journal/biomedicines
