journal_name,url,error_type,error_message
Enlightening Tourism: A Pathmaking Journal,http://www.uhu.es/publicaciones/ojs/index.php/et,SSLError,"HTTPSConnectionPool(host='www.uhu.es', port=443): Max retries exceeded with url: /publicaciones/ojs/index.php/et (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Semina: Ciências Agrárias,https://www.uel.br/revistas/uel/index.php/semagrarias/index,ReadTimeout,"HTTPSConnectionPool(host='ojs.uel.br', port=443): Read timed out. (read timeout=13)"
Raízes Jurídicas,http://ojs.up.com.br/index.php/raizesjuridicas,ReadTimeout,"HTTPConnectionPool(host='ojs.up.com.br', port=80): Read timed out. (read timeout=13)"
International Journal of Critical Pedagogy,http://libjournal.uncg.edu/ijcp/index,SSLError,"HTTPSConnectionPool(host='libjournal.uncg.edu', port=443): Max retries exceeded with url: /ijcp/index (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Cuadernos de Lingüística de El Colegio de México,http://cuadernoslinguistica.colmex.mx/index.php/cl,SSLError,"HTTPSConnectionPool(host='cuadernoslinguistica.colmex.mx', port=443): Max retries exceeded with url: /index.php/cl (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Argumentos,http://revistaargumentos.justiciacordoba.gob.ar,ReadTimeout,"HTTPSConnectionPool(host='revistaargumentos.justiciacordoba.gob.ar', port=443): Read timed out. (read timeout=13)"
Revista Colombiana de Biotecnología,https://revistas.unal.edu.co/index.php/biotecnologia,ReadTimeout,"HTTPSConnectionPool(host='revistas.unal.edu.co', port=443): Read timed out. (read timeout=13)"
Kandai,http://ojs.badanbahasa.kemdikbud.go.id/jurnal/index.php/kandai,ReadTimeout,"HTTPConnectionPool(host='ojs.badanbahasa.kemdikbud.go.id', port=80): Read timed out. (read timeout=13)"
Jurnal Iqra': Kajian Ilmu Pendidikan,http://journal.iaimnumetrolampung.ac.id/index.php/ji/index,SSLError,Gagal melakukan koneksi: http://journal.iaimnumetrolampung.ac.id/index.php/ji/index
Cadernos de História,http://periodicos.pucminas.br/index.php/cadernoshistoria/index,SSLError,"HTTPSConnectionPool(host='periodicos.pucminas.br', port=443): Max retries exceeded with url: /index.php/cadernoshistoria/index (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
